sell_date,buy_date,expiry_date,S_sell,S_buy,strike,rv21_sell,rv21_buy,prem_sell_pts,prem_buy_pts,pnl_pts,pnl_pct,abs_underlying_move_pct
2015-04-06,2015-04-15,2015-04-16,8659.9,8750.2,8650,0.15822097449717507,0.14561890062753102,182.97867186836447,109.81572529981077,73.1629465685537,0.008448474759356773,1.0427372140556113
2015-04-13,2015-04-22,2015-04-23,8834.0,8429.7,8850,0.14449762384812115,0.15415911082884953,169.7598903507478,418.1931176463261,-248.43322729557826,-0.028122393852793554,-4.5766357256056045
2015-04-21,2015-04-29,2015-04-30,8377.75,8239.75,8400,0.15260458534391358,0.1467938056215113,170.22059593078393,159.36923130297046,10.851364627813467,0.0012952600194340326,-1.6472203157172238
2015-04-27,2015-05-06,2015-05-07,8213.8,8097.0,8200,0.16030481306827388,0.16876905336891992,176.17018259082033,111.45200088980494,64.7181817010154,0.00787920106418654,-1.4219971267866227
2015-05-05,2015-05-13,2015-05-14,8324.8,8235.45,8300,0.14893663001490667,0.20637518418061104,167.36964696390442,99.88623842309198,67.48340854081243,0.008106309886220983,-1.0732990582356106
2015-05-12,2015-05-20,2015-05-21,8126.95,8423.25,8150,0.19817082394967306,0.20062745750906497,214.4173059434379,275.47037575281684,-61.05306980937894,-0.007512420995500027,3.6458942161573527
2015-05-19,2015-05-27,2015-05-28,8365.65,8334.6,8350,0.20857303947571065,0.19316855109706943,232.80902832609718,81.69154755365116,151.11748077244602,0.01806404532492347,-0.37116063904178986
2015-05-26,2015-06-03,2015-06-04,8339.35,8135.1,8350,0.19741451976102548,0.20573252813276932,218.89019897060643,214.75765561810843,4.132543352498004,0.0004955474170646398,-2.4492316547452764
2015-06-02,2015-06-10,2015-06-11,8236.45,8124.45,8250,0.20160025856676583,0.14728713875532298,220.7977600305744,126.89655238991082,93.90120764066359,0.011400689331042328,-1.359809141074142
2015-06-09,2015-06-17,2015-06-18,8022.4,8091.55,8000,0.16179971935455054,0.14841166612647488,174.5752971275151,101.18260814798668,73.39268897952843,0.009148470405306197,0.8619615077782194
2015-06-16,2015-06-24,2015-06-25,8047.3,8360.85,8050,0.14620647770194958,0.1590282227470395,156.5861275993766,312.76916805168185,-156.18304045230525,-0.019408129490923073,3.8963379021535127
2015-06-23,2015-07-01,2015-07-02,8381.55,8453.05,8400,0.15933665577129474,0.13483967805694935,177.67194291121814,73.20899279204059,104.46295011917755,0.01246344054729466,0.8530641707082731
2015-06-30,2015-07-08,2015-07-09,8368.5,8363.05,8350,0.15592565172923156,0.1375972022661327,175.10723902565314,59.02711826535415,116.080120760299,0.013871078539797932,-0.06512517177511556
2015-07-07,2015-07-15,2015-07-16,8510.8,8523.8,8500,0.11954346074075124,0.11653461500501212,136.55998902731062,54.04884779693384,82.51114123037678,0.009694874891946325,0.1527470978051504
2015-07-14,2015-07-22,2015-07-23,8454.1,8633.5,8450,0.11497247039528126,0.11718948595063583,129.92807832702056,185.57063487034975,-55.64255654332919,-0.006581724434691947,2.122047290663698
2015-07-21,2015-07-29,2015-07-30,8529.45,8375.05,8550,0.11086491634709038,0.13699854669352504,125.89436547272908,173.35183416446037,-47.45746869173129,-0.005563954146132669,-1.8101987818675447
2015-07-28,2015-08-05,2015-08-06,8337.0,8567.95,8350,0.13769177802135477,0.14160014652332795,152.6435213270288,220.0153606889162,-67.3718393618874,-0.008081065054802375,2.770181120307069
2015-08-04,2015-08-12,2015-08-13,8516.9,8349.45,8500,0.1401771647429801,0.13179918303340094,160.4023854074394,149.37357067524198,11.028814732197418,0.0012949329840901524,-1.9660909485845646
2015-08-11,2015-08-19,2015-08-20,8462.35,8495.15,8450,0.12327392448482874,0.13997090853882896,140.1059761251181,71.09881299366134,69.00716313145676,0.008154609905222161,0.38759918935047377
2015-08-18,2015-08-26,2015-08-27,8466.55,7791.85,8450,0.14228200691513487,0.2496924031376425,161.76303010186166,656.1383411085135,-494.3753110066518,-0.058391589373080165,-7.9690074469529915
2015-08-25,2015-09-02,2015-09-03,7880.7,7717.0,7900,0.24794035612381368,0.264654609968749,259.9659184220268,190.8438751838271,69.1220432381997,0.00877105374372831,-2.0772266423033425
2015-09-01,2015-09-09,2015-09-10,7785.85,7818.6,7800,0.2642622039843039,0.29669893346413645,273.6085449644511,117.58412272072928,156.0244222437218,0.020039484737533062,0.42063486966741337
2015-09-07,2015-09-15,2015-09-16,7558.8,7829.1,7550,0.27602384404679153,0.28760084062499885,277.56007974211616,283.15821770253115,-5.598137960414988,-0.0007406119966681203,3.575964438799817
2015-09-14,2015-09-23,2015-09-24,7872.25,7845.95,7850,0.2875613711466416,0.20975510001164513,301.6526375682188,82.74678688652784,218.90585068169094,0.027807278818849875,-0.3340849185429873
2015-09-21,2015-09-30,2015-10-01,7977.1,7948.9,8000,0.29096373073695286,0.19911686112746593,308.90411362635405,89.26204995991566,219.6420636664384,0.027534074245833495,-0.35351192789360164
2015-09-28,2015-10-07,2015-10-08,7795.7,8177.4,7800,0.2062290876893566,0.18399368122464824,213.77596379671195,379.257777758201,-165.48181396148902,-0.021227319414740053,4.8962889798222164
2015-10-06,2015-10-14,2015-10-15,8152.9,8107.9,8150,0.18828579744423438,0.14277416904722667,204.34420571535247,66.91376938169515,137.43043633365733,0.01685663215955762,-0.5519508395785522
2015-10-12,2015-10-20,2015-10-21,8143.6,8261.65,8150,0.15161925039417248,0.1387645050699922,164.21794662946104,117.05352119904092,47.164425430420124,0.005791594065329845,1.449604597475318
2015-10-19,2015-10-28,2015-10-29,8275.05,8171.2,8300,0.1399602339649436,0.11761369244425175,154.37112494651137,127.66075066180676,26.710374284704614,0.003227820289267692,-1.2549773113153306
2015-10-27,2015-11-04,2015-11-05,8232.9,8040.2,8250,0.11264183634738782,0.08067510913940708,123.37475234676958,207.83595204636129,-84.4611996995917,-0.010258985254235046,-2.3406090199079244
2015-11-02,2015-11-10,2015-11-11,8050.8,7783.35,8050,0.10910324151052589,0.09398597649460247,117.25138326905562,264.7335616161397,-147.48217834708407,-0.018318946980062114,-3.32203010880906
